match_id,competition,season_year,matchday,kickoff,home_team,home_team_logo,away_team,away_team_logo,stadium_official,stadium_sponsor,status,round
2045827,UEL,2026,MD1 - PO,2025-08-21T18:15:00Z,S. Bratislava,https://img.uefa.com/imgml/TP/teams/logos/700x700/52797.png,Young Boys,https://img.uefa.com/imgml/TP/teams/logos/700x700/50031.png,Národný futbalový štadión ,Národný futbalový štadión,FINISHED,Play-Offs
2045834,UEL,2026,MD1 - PO,2025-08-21T18:00:00Z,Zrinjski,https://img.uefa.com/imgml/TP/teams/logos/700x700/73390.png,Utrecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/52323.png,Stadium of HŠK Zrinjski,Stadium of HSK Zrinjski,FINISHED,Play-Offs
2045829,UEL,2026,MD1 - PO,2025-08-21T18:00:00Z,Panathinaikos,https://img.uefa.com/imgml/TP/teams/logos/700x700/50084.png,Samsunspor,https://img.uefa.com/imgml/TP/teams/logos/700x700/53060.png,"Olympic Athletic Center of Athens ""Spyros Louis""","Olympic Athletic Center of Athens ""Spyros Louis""",FINISHED,Play-Offs
2045826,UEL,2026,MD1 - PO,2025-08-21T18:00:00Z,Shkëndija,https://img.uefa.com/imgml/TP/teams/logos/700x700/75807.png,Ludogorets,https://img.uefa.com/imgml/TP/teams/logos/700x700/2603104.png,National Arena Todor Proeski ,National Arena Todor Proeski,FINISHED,Play-Offs
2045825,UEL,2026,MD1 - PO,2025-08-21T18:00:00Z,M. Tel-Aviv,https://img.uefa.com/imgml/TP/teams/logos/700x700/57477.png,Dynamo Kyiv,https://img.uefa.com/imgml/TP/teams/logos/700x700/52723.png,TSC Arena,TSC Arena,FINISHED,Play-Offs
2045835,UEL,2026,MD1 - PO,2025-08-21T17:00:00Z,Brann,https://img.uefa.com/imgml/TP/teams/logos/700x700/52770.png,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,Brann Stadion,Brann Stadion,FINISHED,Play-Offs
2045828,UEL,2026,MD1 - PO,2025-08-21T17:00:00Z,Malmö,https://img.uefa.com/imgml/TP/teams/logos/700x700/50152.png,Sigma Olomouc,https://img.uefa.com/imgml/TP/teams/logos/700x700/52905.png,Malmö New Stadium,Stadion,FINISHED,Play-Offs
2045832,UEL,2026,MD1 - PO,2025-08-21T16:30:00Z,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,KuPS Kuopio,https://img.uefa.com/imgml/TP/teams/logos/700x700/52350.png,Arena Herning,MCH Arena,FINISHED,Play-Offs
2045742,UEL,2026,MD2,2025-08-14T19:00:00Z,Legia Warszawa,https://img.uefa.com/imgml/TP/teams/logos/700x700/50146.png,AEK Larnaca,https://img.uefa.com/imgml/TP/teams/logos/700x700/54191.png,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,The Marshall Józef Piłsudski's Municipal Stadium of Legia Warsaw,FINISHED,Third qualifying round
2045744,UEL,2026,MD2,2025-08-14T18:30:00Z,Braga,https://img.uefa.com/imgml/TP/teams/logos/700x700/52336.png,CFR Cluj,https://img.uefa.com/imgml/TP/teams/logos/700x700/88131.png,Estádio Municipal de Braga,Estádio Municipal de Braga,FINISHED,Third qualifying round
2045748,UEL,2026,MD2,2025-08-14T18:00:00Z,Shakhtar,https://img.uefa.com/imgml/TP/teams/logos/700x700/52707.png,Panathinaikos,https://img.uefa.com/imgml/TP/teams/logos/700x700/50084.png,Municipal Henryk Reyman’s Stadium in Krakow,Telefonika Kable SA ,FINISHED,Third qualifying round
2045746,UEL,2026,MD2,2025-08-14T18:00:00Z,Utrecht,https://img.uefa.com/imgml/TP/teams/logos/700x700/52323.png,Servette,https://img.uefa.com/imgml/TP/teams/logos/700x700/50008.png,Stadion Galgenwaard,Stadion Galgenwaard,FINISHED,Third qualifying round
2045741,UEL,2026,MD2,2025-08-14T18:00:00Z,Drita,https://img.uefa.com/imgml/TP/teams/logos/700x700/2608290.png,FCSB,https://img.uefa.com/imgml/TP/teams/logos/700x700/50065.png,Stadiumi Fadil Vokrri,Stadiumi Fadil Vokrri,FINISHED,Third qualifying round
2045739,UEL,2026,MD2,2025-08-14T18:00:00Z,M. Tel-Aviv,https://img.uefa.com/imgml/TP/teams/logos/700x700/57477.png,Hamrun Spartans ,https://img.uefa.com/imgml/TP/teams/logos/700x700/50060.png,TSC Arena,TSC Arena,FINISHED,Third qualifying round
2045740,UEL,2026,MD2,2025-08-14T17:30:00Z,Breiðablik,https://img.uefa.com/imgml/TP/teams/logos/700x700/71235.png,Zrinjski,https://img.uefa.com/imgml/TP/teams/logos/700x700/73390.png,Kópavogsvöllur ,Kópavogsvöllur ,FINISHED,Third qualifying round
2045747,UEL,2026,MD2,2025-08-14T17:00:00Z,Brann,https://img.uefa.com/imgml/TP/teams/logos/700x700/52770.png,Häcken,https://img.uefa.com/imgml/TP/teams/logos/700x700/69621.png,Brann Stadion,Brann Stadion,FINISHED,Third qualifying round
2045745,UEL,2026,MD2,2025-08-14T17:00:00Z,Wolfsberger,https://img.uefa.com/imgml/TP/teams/logos/700x700/2603990.png,PAOK,https://img.uefa.com/imgml/TP/teams/logos/700x700/50130.png,Wörthersee Stadion,28 Black Arena,FINISHED,Third qualifying round
2045736,UEL,2026,MD2,2025-08-14T17:00:00Z,Noah,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609987.png,L. Red Imps,https://img.uefa.com/imgml/TP/teams/logos/700x700/2605572.png,Abovyan city stadium,Abovyan stadium,FINISHED,Third qualifying round
2045743,UEL,2026,MD2,2025-08-14T16:00:00Z,Midtjylland,https://img.uefa.com/imgml/TP/teams/logos/700x700/75795.png,Fredrikstad,https://img.uefa.com/imgml/TP/teams/logos/700x700/64211.png,Arena Herning,MCH Arena,FINISHED,Third qualifying round
2045738,UEL,2026,MD2,2025-08-14T15:00:00Z,KuPS Kuopio,https://img.uefa.com/imgml/TP/teams/logos/700x700/52350.png,RFS,https://img.uefa.com/imgml/TP/teams/logos/700x700/2609104.png,Kuopion Keskuskenttä,Savon Sanomat Areena,FINISHED,Third qualifying round
2045737,UEL,2026,MD2,2025-08-12T18:45:00Z,Shelbourne,https://img.uefa.com/imgml/TP/teams/logos/700x700/53020.png,Rijeka,https://img.uefa.com/imgml/TP/teams/logos/700x700/52356.png,Tolka Park,Tolka Park,FINISHED,Third qualifying round
